Amount (copy),Number of Records,Aiddata Id,Amount,Donor,Recipient,Year
$0.0B,1,86687415,$0.0B,Germany,Brazil,01.01.1992
$0.0B,1,86687927,$0.0B,Canada,Thailand,01.01.1992
$0.0B,1,86688045,$0.0B,Sweden,South Africa,01.01.1993
$0.0B,1,86688084,$0.0B,Sweden,South Africa,01.01.1993
$0.0B,1,86689023,$0.0B,France,Brazil,01.01.1994
$0.0B,1,86689297,$0.0B,France,Thailand,01.01.1994
$0.0B,1,86689336,$0.0B,France,Thailand,01.01.1994
$0.0B,1,86689492,$0.0B,Sweden,South Africa,01.01.1994
$0.0B,1,86689531,$0.0B,Sweden,South Africa,01.01.1994
$0.0B,1,86689649,$0.0B,Sweden,Chile,01.01.1994
$0.0B,1,86690159,$0.0B,Netherlands,Chile,01.01.1979
$0.0B,1,86690705,$0.0B,Netherlands,Thailand,01.01.1980
$0.1B,1,86690822,$0.1B,Japan,Thailand,01.01.1981
$0.0B,1,86690900,$0.0B,Switzerland,India,01.01.1979
$0.0B,1,86690978,$0.0B,Switzerland,India,01.01.1979
$0.0B,1,86691875,$0.0B,Japan,India,01.01.1979
$0.0B,1,86693903,$0.0B,Germany,Brazil,01.01.1983
$0.1B,1,86694215,$0.1B,Germany,Thailand,01.01.1979
$0.1B,1,86694332,$0.1B,Germany,India,01.01.1982
$0.0B,1,86694800,$0.0B,Sweden,South Africa,01.01.1990
$0.0B,1,86694839,$0.0B,Sweden,Chile,01.01.1990
$0.0B,1,86695308,$0.0B,Sweden,Chile,01.01.1991
$0.0B,1,86695818,$0.0B,Sweden,South Africa,01.01.1992
$0.0B,1,86696560,$0.0B,Sweden,South Africa,01.01.1993
$0.0B,1,86697072,$0.0B,Finland,India,01.01.1993
$0.0B,1,86697384,$0.0B,France,India,01.01.1994
$0.0B,1,86697579,$0.0B,France,Kuwait,01.01.1994
$0.0B,1,86698086,$0.0B,Sweden,South Africa,01.01.1994
$0.0B,1,86698125,$0.0B,Sweden,South Africa,01.01.1994
$0.0B,1,86698399,$0.0B,Denmark,India,01.01.1991
$0.0B,1,86698517,$0.0B,Finland,South Africa,01.01.1994
$0.0B,1,86699609,$0.0B,Italy,Brazil,01.01.1991
$0.0B,1,86699648,$0.0B,Italy,Colombia,01.01.1991
$0.0B,1,86699921,$0.0B,Netherlands,India,01.01.1991
$0.0B,1,86699960,$0.0B,Netherlands,India,01.01.1991
$0.0B,1,86700624,$0.0B,Sweden,Chile,01.01.1991
$0.0B,1,86700703,$0.0B,Sweden,India,01.01.1991
$0.0B,1,86701951,$0.0B,United States,India,01.01.1985
$0.0B,1,86702107,$0.0B,United States,Cyprus,01.01.1991
$0.0B,1,86703082,$0.0B,Australia,India,01.01.1991
$0.0B,1,86704760,$0.0B,Norway,India,01.01.1979
$0.0B,1,86705423,$0.0B,Canada,Thailand,01.01.1982
$0.0B,1,86706047,$0.0B,United States,Thailand,01.01.1982
$0.0B,1,86706633,$0.0B,Canada,India,01.01.1976
$0.0B,1,86707883,$0.0B,Belgium,India,01.01.1983
$0.0B,1,86708702,$0.0B,United Kingdom,India,01.01.1992
$0.0B,1,86709287,$0.0B,Canada,Brazil,01.01.1992
$0.0B,1,86709560,$0.0B,United States,Thailand,01.01.1992
$0.0B,1,86709989,$0.0B,United States,India,01.01.1992
$0.0B,1,86710457,$0.0B,Japan,India,01.01.1992
$0.0B,1,86711549,$0.0B,Denmark,Thailand,01.01.1979
$0.0B,1,86711666,$0.0B,Canada,Brazil,01.01.1973
$0.0B,1,86712212,$0.0B,United Kingdom,India,01.01.1979
$0.0B,1,86713889,$0.0B,United States,Thailand,01.01.1980
$0.0B,1,86714045,$0.0B,Japan,Thailand,01.01.1980
$0.0B,1,86714435,$0.0B,Belgium,Thailand,01.01.1981
$0.0B,1,86715410,$0.0B,Sweden,India,01.01.1981
$0.0B,1,86716385,$0.0B,Japan,Thailand,01.01.1981
$0.0B,1,86717984,$0.0B,United States,Korea,01.01.1982
$0.0B,1,86719895,$0.0B,Switzerland,India,01.01.1983
$0.0B,1,86720324,$0.0B,Germany,Chile,01.01.1974
$0.1B,1,86720402,$0.1B,United Kingdom,India,01.01.1974
$0.0B,1,86720753,$0.0B,Japan,Thailand,01.01.1975
